Country Code,State Code,ZIP/Postcode,City,Rate %,Tax Name,Priority,Compound,Shipping,Tax Class
US,AK,99841,*,2,TENAKEE SPRINGS,1,0,1,
US,AL,35565,*,9,HALEYVILLE (WINSTON CO),1,0,1,
US,AL,36135,*,10,MONTGOMERY,1,0,1,
US,AL,36773,*,5.5,DALLAS COUNTY,1,0,1,
US,AR,72051,*,7.5,STONE COUNTY,1,0,1,
US,AR,72479,*,7.75,POINSETT COUNTY,1,0,1,
US,AZ,85010,*,8.6,PHOENIX,1,0,1,
US,AZ,85547,*,9.6,PAYSON,1,0,1,
US,CA,90003,*,9.5,LOS ANGELES CO,1,0,1,
US,CA,90832,*,10.25,LONG BEACH,1,0,1,
US,CA,91785,*,7.75,SAN BERNARDINO COUNTY,1,0,1,
US,CA,92304,*,7.75,SAN BERNARDINO COUNTY,1,0,1,
US,CA,92845,*,7.75,ORANGE COUNTY,1,0,1,
US,CA,93528,*,7.25,KERN COUNTY,1,0,1,
US,CA,94127,*,8.5,SAN FRANCISCO COUNTY,1,0,1,
US,CA,94930,*,9,FAIRFAX,1,0,1,
US,CA,95360,*,7.875,STANISLAUS COUNTY,1,0,1,
US,CA,95714,*,7.25,PLACER COUNTY,1,0,1,
US,CA,96136,*,7.25,LASSEN COUNTY,1,0,1,
US,CO,80522,*,7.4,FORT COLLINS,1,0,1,
US,CO,81131,*,7.9,ALAMOSA,1,0,1,
US,CT,06143,*,6.35,CONNECTICUT STATE,1,0,1,
US,CT,06793,*,6.35,CONNECTICUT STATE,1,0,1,
US,DC,20444,*,5.75,DISTRICT OF COLUMBIA,1,0,1,
US,FL,32114,*,6.5,VOLUSIA COUNTY,1,0,1,
US,FL,32542,*,6,FLORIDA STATE,1,0,1,
US,FL,32964,*,7,INDIAN RIVER COUNTY,1,0,1,
US,FL,33428,*,7,PALM BEACH COUNTY,1,0,1,
US,FL,33839,*,7,POLK COUNTY,1,0,1,
US,FL,34602,*,6.5,HERNANDO COUNTY,1,0,1,
US,GA,30153,*,7,POLK COUNTY,1,0,1,
US,GA,30546,*,7,TOWNS COUNTY,1,0,1,
US,GA,31141,*,7,DEKALB COUNTY,1,0,1,
